date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:53	244381/244381	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jun%202022%2006:07:52%20GMT	https://www.toptal.com/developers/sorting-algorithms	D:/cpp/obid%20aka/www.toptal.com/developers/sorting-algorithms.html	(from )
11:07:53	338/338	---MCZ	200	added ('OK')	text/plain	etag:W/%2262a98f46-3ca%22	https://www.toptal.com/robots.txt		(from )
11:07:54	46859/46859	---MC-	200	added ('OK')	application/rss+xml	etag:W/%224e7f8e1bc00d83031246d8caaa96fda7%22	https://www.toptal.com/developers/blog.rss	D:/cpp/obid%20aka/www.toptal.com/developers/blog.rss	(from https://www.toptal.com/developers/sorting-algorithms)
11:07:55	81315/81315	---M--	200	added ('OK')	image/jpeg	etag:%2276642aa3fbe8f00d2a15c9c80eec68e6%22	https://bs-uploads.toptal.io/blackfish-uploads/generic_page/seo/og_image_file/og_image/27769/og_image_76642a-76642aa3fbe8f00d2a15c9c80eec68e6.jpg	D:/cpp/obid%20aka/bs-uploads.toptal.io/blackfish-uploads/generic_page/seo/og_image_file/og_image/27769/og_image_76642a-76642aa3fbe8f00d2a15c9c80eec68e6.jpg	(from https://www.toptal.com/developers/sorting-algorithms)
11:07:55	850/850	---MC-	200	added ('OK')	text/javascript	date:Thu,%2016%20Jun%202022%2006:07:55%20GMT	https://www.google.com/recaptcha/api.js	D:/cpp/obid%20aka/www.google.com/recaptcha/api.js	(from https://www.toptal.com/developers/sorting-algorithms)
11:07:57	1086/1086	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2021%20Apr%202022%2014:43:16%20GMT	https://appinfo.toptal.com/script.js	D:/cpp/obid%20aka/appinfo.toptal.com/script.js	(from https://www.toptal.com/developers/sorting-algorithms)
11:07:57	668/668	---M--	200	added ('OK')	image/png	etag:%2262a76f04-4a2%22	https://bs-assets.toptal.io/blackfish-assets/public/base/images/favicons/toptal-blog-favicon32x32_c2c2ba.png	D:/cpp/obid%20aka/bs-assets.toptal.io/blackfish-assets/public/base/images/favicons/toptal-blog-favicon32x32_c2c2ba.png	(from https://www.toptal.com/developers/sorting-algorithms)
11:07:57	1104/1104	---M--	200	added ('OK')	image/png	etag:%2262a76f02-656%22	https://bs-assets.toptal.io/blackfish-assets/public/base/images/favicons/toptal-blog-favicon57x57_2ec58c.png	D:/cpp/obid%20aka/bs-assets.toptal.io/blackfish-assets/public/base/images/favicons/toptal-blog-favicon57x57_2ec58c.png	(from https://www.toptal.com/developers/sorting-algorithms)
11:07:57	1250/1250	---M--	200	added ('OK')	image/png	etag:%2262a9baeb-6e8%22	https://bs-assets.toptal.io/blackfish-assets/public/base/images/favicons/toptal-blog-favicon72x72_7485f3.png	D:/cpp/obid%20aka/bs-assets.toptal.io/blackfish-assets/public/base/images/favicons/toptal-blog-favicon72x72_7485f3.png	(from https://www.toptal.com/developers/sorting-algorithms)
11:07:58	2290/2290	---M--	200	added ('OK')	image/png	etag:%2262a0887e-f55%22	https://bs-assets.toptal.io/blackfish-assets/public/base/images/favicons/toptal-blog-favicon114x114_01eb8c.png	D:/cpp/obid%20aka/bs-assets.toptal.io/blackfish-assets/public/base/images/favicons/toptal-blog-favicon114x114_01eb8c.png	(from https://www.toptal.com/developers/sorting-algorithms)
11:08:00	79716/79716	---MCZ	200	added ('OK')	text/css	etag:W/%2261bcceec-13764%22	https://bs-assets.toptal.io/blackfish-assets/public_base_styles.5ea0cf22c308bb4ab5bb6245364b2803.css	D:/cpp/obid%20aka/bs-assets.toptal.io/blackfish-assets/public_base_styles.5ea0cf22c308bb4ab5bb6245364b2803.css	(from https://www.toptal.com/developers/sorting-algorithms)
11:08:00	18827/18827	---MCZ	200	added ('OK')	text/css	etag:W/%2262a76f04-498b%22	https://bs-assets.toptal.io/blackfish-assets/public_sorting_algorithms_styles.a7b35d274bd054c5ae6ad2648435b4b9.css	D:/cpp/obid%20aka/bs-assets.toptal.io/blackfish-assets/public_sorting_algorithms_styles.a7b35d274bd054c5ae6ad2648435b4b9.css	(from https://www.toptal.com/developers/sorting-algorithms)
11:08:02	85589/85589	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	D:/cpp/obid%20aka/ajax.googleapis.com/ajax/libs/jquery/2.2.0/jquery.min.js	(from https://www.toptal.com/developers/sorting-algorithms)
11:08:02	619/619	---M--	200	added ('OK')	image/png	etag:%2262a0887e-26b%22	https://bs-assets.toptal.io/blackfish-assets/public/base/images/primitives/social/share_bar/linkedin_b923c3.png	D:/cpp/obid%20aka/bs-assets.toptal.io/blackfish-assets/public/base/images/primitives/social/share_bar/linkedin_b923c3.png	(from https://www.toptal.com/developers/sorting-algorithms)
11:08:03	822/822	---M--	200	added ('OK')	image/png	etag:%2262a76f05-336%22	https://bs-assets.toptal.io/blackfish-assets/public/base/images/primitives/social/share_bar/twitter_83c6d4.png	D:/cpp/obid%20aka/bs-assets.toptal.io/blackfish-assets/public/base/images/primitives/social/share_bar/twitter_83c6d4.png	(from https://www.toptal.com/developers/sorting-algorithms)
11:08:03	444/444	---M--	200	added ('OK')	image/png	etag:%2262a76f05-30d%22	https://bs-assets.toptal.io/blackfish-assets/public/base/images/primitives/social/share_bar/facebook_dc66c9.png	D:/cpp/obid%20aka/bs-assets.toptal.io/blackfish-assets/public/base/images/primitives/social/share_bar/facebook_dc66c9.png	(from https://www.toptal.com/developers/sorting-algorithms)
